PV,Value
DIAG_MTCA04:PICO4_CH2:RNG1_EEOFST_RD,-2.6903801408906247e-09
DIAG_MTCA04:PICO4_CH3:RNG0_EEGAIN_RD,2.49492509984961e-10
DIAG_MTCA04:PICO4_CH3:RNG0_EEOFST_RD,-1.043023445390645e-08
DIAG_MTCA04:PICO4_CH3:RNG1_EEGAIN_RD,3.219516667152256e-11
DIAG_MTCA04:PICO4_CH3:RNG1_EEOFST_RD,-1.2614408406719235e-09
DIAG_MTCA04:PICO4_CH4:RNG0_EEGAIN_RD,2.494898454497019e-10
DIAG_MTCA04:PICO4_CH4:RNG0_EEOFST_RD,6.547598907502561e-09
DIAG_MTCA04:PICO4_CH4:RNG1_EEGAIN_RD,3.2190104748419657e-11
DIAG_MTCA04:PICO4_CH4:RNG1_EEOFST_RD,8.749473368041549e-10
DIAG_MTCA04:PICO4_CH5:RNG0_EEGAIN_RD,2.4944998844311783e-10
DIAG_MTCA04:PICO4_CH5:RNG0_EEOFST_RD,3.874327525466015e-09
DIAG_MTCA04:PICO4_CH5:RNG1_EEGAIN_RD,3.2186250192856036e-11
DIAG_MTCA04:PICO4_CH5:RNG1_EEOFST_RD,5.177589468274846e-10
DIAG_MTCA04:PICO4_CH6:RNG0_EEGAIN_RD,2.494753015280793e-10
DIAG_MTCA04:PICO4_CH6:RNG0_EEOFST_RD,1.657470072302658e-08
DIAG_MTCA04:PICO4_CH6:RNG1_EEGAIN_RD,3.218572630636629e-11
DIAG_MTCA04:PICO4_CH6:RNG1_EEOFST_RD,2.1922481607816735e-09
DIAG_MTCA04:PICO4_CH7:RNG0_EEGAIN_RD,2.494412454367989e-10
DIAG_MTCA04:PICO4_CH7:RNG0_EEOFST_RD,-4.22528539933964e-11
DIAG_MTCA04:PICO4_CH7:RNG1_EEGAIN_RD,3.218379382441405e-11
DIAG_MTCA04:PICO4_CH7:RNG1_EEOFST_RD,6.169633554042875e-11
DIAG_MTCA15:PICO3_CH0:RNG0_EEGAIN_RD,2.234832457981284e-10
DIAG_MTCA15:PICO3_CH0:RNG0_EEOFST_RD,4.912928286415763e-09
DIAG_MTCA15:PICO3_CH0:RNG1_EEGAIN_RD,5.887059503079106e-12
DIAG_MTCA15:PICO3_CH0:RNG1_EEOFST_RD,1.3265970266740368e-10
DIAG_MTCA15:PICO3_CH1:RNG0_EEGAIN_RD,2.234461365935303e-10
DIAG_MTCA15:PICO3_CH1:RNG0_EEOFST_RD,-5.377275846818463e-10
DIAG_MTCA15:PICO3_CH1:RNG1_EEGAIN_RD,5.886671792382225e-12
DIAG_MTCA15:PICO3_CH1:RNG1_EEOFST_RD,-3.1695605341719446e-12
DIAG_MTCA15:PICO3_CH2:RNG0_EEGAIN_RD,2.2345598982287385e-10
DIAG_MTCA15:PICO3_CH2:RNG0_EEOFST_RD,6.593249946007518e-09
DIAG_MTCA15:PICO3_CH2:RNG1_EEGAIN_RD,5.885428863011688e-12
DIAG_MTCA15:PICO3_CH2:RNG1_EEOFST_RD,1.951499933872114e-10
DIAG_MTCA15:PICO3_CH3:RNG0_EEGAIN_RD,2.234198659412101e-10
DIAG_MTCA15:PICO3_CH3:RNG0_EEOFST_RD,-2.3803668369737352e-08
